,Code,Name,Northing,Easting,Population,No. pubs,Life expectancy (female),Life expectancy (male),Median income
0,E06000001,Hartlepool,531474.0,447160.0,"93,836",55,81.29,76.87,"22,890"
1,E06000002,Middlesbrough,516887.0,451141.0,"141,285",65,80.27,75.42,"21,082"
2,E06000003,Redcar and Cleveland,519597.0,464361.0,"137,228",90,81.75,78.16,"20,973"
3,E06000004,Stockton-on-Tees,518183.0,444940.0,"197,419",115,81.66,78.53,"23,237"
4,E06000005,Darlington,515648.0,428029.0,"107,402",80,81.9,78.81,"23,520"
5,E06000006,Halton,382146.0,354246.0,"129,759",55,81.66,77.39,"22,695"
6,E06000007,Warrington,388456.0,362744.0,"209,397",110,82.77,79.03,"25,180"
7,E06000008,Blackburn with Darwen,422806.0,369490.0,"150,030",90,80.39,77.28,"21,260"
8,E06000009,Blackpool,436635.0,332819.0,"138,381",100,79.54,74.4,"19,486"
9,E06000010,"Kingston upon Hull, City of",431650.0,511894.0,"259,126",145,80.12,75.82,"20,741"
10,E06000011,East Riding of Yorkshire,443597.0,488056.0,"343,201",270,83.83,80.35,"24,413"
11,E06000012,North East Lincolnshire,404564.0,523465.0,"159,364",80,82.13,77.78,"21,566"
12,E06000013,North Lincolnshire,410993.0,497800.0,"172,748",115,82.64,78.94,"22,011"
13,E06000014,York,452589.0,460864.0,"211,012",190,83.65,80.17,"23,960"
14,E06000015,Derby,335375.0,435609.0,"256,814",140,82.1,78.55,"25,774"
15,E06000016,Leicester,304594.0,458946.0,"354,036",115,82.23,77.51,"20,755"
16,E06000017,Rutland,308655.0,492992.0,"40,476",40,85.4,83.0,"26,304"
17,E06000018,Nottingham,339969.0,456082.0,"337,098",195,81.19,77.15,"20,299"
18,E06000019,"Herefordshire, County of",242834.0,349434.0,"193,615",190,84.2,79.98,"21,677"
19,E06000020,Telford and Wrekin,313057.0,367035.0,"181,322",100,81.9,78.57,"22,531"
20,E06000021,Stoke-on-Trent,346652.0,389438.0,"256,622",145,80.15,76.49,"22,169"
21,E06000022,Bath and North East Somerset,161999.0,366217.0,"196,357",160,85.06,81.13,"24,256"
22,E06000023,"Bristol, City of",174846.0,359990.0,"465,866",300,82.78,78.5,"25,952"
23,E06000024,North Somerset,166718.0,347614.0,"215,574",145,84.61,80.66,"24,001"
24,E06000025,South Gloucestershire,183198.0,367559.0,"287,816",150,84.55,81.55,"24,777"
25,E06000026,Plymouth,58255.0,249945.0,"262,839",140,82.22,78.9,"21,612"
26,E06000027,Torbay,64613.0,289730.0,"136,218",105,82.63,78.97,"20,602"
27,E06000028,,,,,85,,,
28,E06000029,,,,,55,,,
29,E06000030,Swindon,186564.0,418551.0,"222,881",100,83.45,80.17,"27,234"
30,E06000031,Peterborough,300777.0,517372.0,"202,626",75,82.58,78.63,"22,846"
31,E06000032,Luton,222559.0,508606.0,"213,528",45,82.72,78.67,"24,522"
32,E06000033,Southend-on-Sea,186837.0,587777.0,"182,773",75,82.52,79.1,"27,022"
33,E06000034,Thurrock,181590.0,562123.0,"175,531",45,82.69,79.36,"26,931"
34,E06000035,Medway,175198.0,578207.0,"279,142",105,82.56,79.05,"26,544"
